12/12 12:21:00.127 DEBUG Memory Usage: RSS=112.27 MB, VMS=400181.59 MB
12/12 12:21:10.133 DEBUG Memory Usage: RSS=58.88 MB, VMS=400181.59 MB
12/12 12:21:20.139 DEBUG Memory Usage: RSS=40.88 MB, VMS=400181.59 MB
12/12 12:21:30.145 DEBUG Memory Usage: RSS=37.81 MB, VMS=400181.59 MB
12/12 12:21:40.150 DEBUG Memory Usage: RSS=37.81 MB, VMS=400181.59 MB
12/12 12:21:50.153 DEBUG Memory Usage: RSS=40.80 MB, VMS=400181.59 MB
12/12 12:22:00.160 DEBUG Memory Usage: RSS=37.80 MB, VMS=400181.59 MB
12/12 12:22:10.162 DEBUG Memory Usage: RSS=30.09 MB, VMS=400181.59 MB
12/12 12:22:20.164 DEBUG Memory Usage: RSS=30.09 MB, VMS=400181.59 MB
12/12 12:22:30.166 DEBUG Memory Usage: RSS=30.08 MB, VMS=400181.59 MB
12/12 12:22:40.173 DEBUG Memory Usage: RSS=27.12 MB, VMS=400181.59 MB
12/12 12:22:50.181 DEBUG Memory Usage: RSS=9.97 MB, VMS=400181.59 MB
12/12 12:23:00.184 DEBUG Memory Usage: RSS=7.11 MB, VMS=400181.59 MB
12/12 12:23:10.191 DEBUG Memory Usage: RSS=10.16 MB, VMS=400181.59 MB
12/12 12:23:20.197 DEBUG Memory Usage: RSS=10.16 MB, VMS=400181.59 MB
12/12 12:23:30.203 DEBUG Memory Usage: RSS=7.00 MB, VMS=400181.59 MB
12/12 12:23:40.208 DEBUG Memory Usage: RSS=10.06 MB, VMS=400181.59 MB
12/12 12:23:50.215 DEBUG Memory Usage: RSS=7.11 MB, VMS=400181.59 MB
12/12 12:24:00.221 DEBUG Memory Usage: RSS=10.06 MB, VMS=400181.59 MB
12/12 12:24:10.227 DEBUG Memory Usage: RSS=7.02 MB, VMS=400181.59 MB
12/12 12:24:20.233 DEBUG Memory Usage: RSS=10.16 MB, VMS=400181.59 MB
12/12 12:24:30.241 DEBUG Memory Usage: RSS=7.02 MB, VMS=400181.59 MB
12/12 12:24:40.244 DEBUG Memory Usage: RSS=7.02 MB, VMS=400181.59 MB
12/12 12:24:50.254 DEBUG Memory Usage: RSS=7.00 MB, VMS=400181.59 MB
12/12 12:25:00.260 DEBUG Memory Usage: RSS=3.50 MB, VMS=400181.59 MB
12/12 12:25:10.266 DEBUG Memory Usage: RSS=6.66 MB, VMS=400181.59 MB
12/12 12:25:20.282 DEBUG Memory Usage: RSS=3.62 MB, VMS=400181.59 MB
12/12 12:25:30.286 DEBUG Memory Usage: RSS=6.59 MB, VMS=400181.59 MB
12/12 12:25:40.293 DEBUG Memory Usage: RSS=3.52 MB, VMS=400181.59 MB
12/12 12:25:50.300 DEBUG Memory Usage: RSS=3.52 MB, VMS=400181.59 MB
12/12 12:26:00.306 DEBUG Memory Usage: RSS=6.67 MB, VMS=400181.59 MB
12/12 12:26:10.311 DEBUG Memory Usage: RSS=6.88 MB, VMS=400181.59 MB
12/12 12:26:20.313 DEBUG Memory Usage: RSS=3.52 MB, VMS=400181.59 MB
